This job can be monitored from: https://job.c3se.chalmers.se/alvis/6316711
============================================================
Run started: 2026-04-03 16:57:43
Log file:    /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/training.log
============================================================
Using device: cuda
Train=425, Val=75, Test=100
Computing global DVF mean/std over training set...
DVF global mean=-3.190084, std=10.835453
No checkpoint found — starting from scratch
Epoch 047/1000 | λ=1.00e-04 | LR=9.95e-05 | Train [Total=0.03707 MSE=0.03637 Smooth=0.00071] | Val   [Total=0.03679 MSE=0.03461 Smooth=0.00217] *** BEST ***
Epoch 048/1000 | λ=1.00e-04 | LR=9.94e-05 | Train [Total=0.01872 MSE=0.01813 Smooth=0.00059] | Val   [Total=0.03736 MSE=0.03515 Smooth=0.00220]
Epoch 049/1000 | λ=1.00e-04 | LR=9.94e-05 | Train [Total=0.03821 MSE=0.03763 Smooth=0.00058] | Val   [Total=0.03664 MSE=0.03431 Smooth=0.00234] *** BEST ***
Epoch 050/1000 | λ=1.00e-04 | LR=9.94e-05 | Train [Total=0.02881 MSE=0.02818 Smooth=0.00064] | Val   [Total=0.03464 MSE=0.03260 Smooth=0.00204] *** BEST ***
Epoch 051/1000 | λ=1.00e-04 | LR=9.94e-05 | Train [Total=0.03535 MSE=0.03489 Smooth=0.00046] | Val   [Total=0.03321 MSE=0.03043 Smooth=0.00279] *** BEST ***
Epoch 052/1000 | λ=1.00e-04 | LR=9.93e-05 | Train [Total=0.02750 MSE=0.02709 Smooth=0.00041] | Val   [Total=0.03134 MSE=0.02941 Smooth=0.00193] *** BEST ***
Epoch 053/1000 | λ=1.00e-04 | LR=9.93e-05 | Train [Total=0.02949 MSE=0.02895 Smooth=0.00054] | Val   [Total=0.03118 MSE=0.02913 Smooth=0.00205] *** BEST ***
Epoch 054/1000 | λ=1.00e-04 | LR=9.93e-05 | Train [Total=0.02340 MSE=0.02291 Smooth=0.00050] | Val   [Total=0.03226 MSE=0.03038 Smooth=0.00188]
Epoch 055/1000 | λ=1.00e-04 | LR=9.93e-05 | Train [Total=0.02957 MSE=0.02913 Smooth=0.00043] | Val   [Total=0.03128 MSE=0.02943 Smooth=0.00185]
Epoch 056/1000 | λ=1.00e-04 | LR=9.92e-05 | Train [Total=0.03525 MSE=0.03474 Smooth=0.00051] | Val   [Total=0.03072 MSE=0.02876 Smooth=0.00196] *** BEST ***
Epoch 057/1000 | λ=1.00e-04 | LR=9.92e-05 | Train [Total=0.03076 MSE=0.03035 Smooth=0.00041] | Val   [Total=0.02760 MSE=0.02554 Smooth=0.00206] *** BEST ***
Epoch 058/1000 | λ=1.00e-04 | LR=9.92e-05 | Train [Total=0.01857 MSE=0.01809 Smooth=0.00048] | Val   [Total=0.02643 MSE=0.02474 Smooth=0.00168] *** BEST ***
Epoch 059/1000 | λ=1.00e-04 | LR=9.92e-05 | Train [Total=0.03402 MSE=0.03360 Smooth=0.00043] | Val   [Total=0.02699 MSE=0.02513 Smooth=0.00186]
Epoch 060/1000 | λ=1.00e-04 | LR=9.91e-05 | Train [Total=0.02411 MSE=0.02374 Smooth=0.00037] | Val   [Total=0.02613 MSE=0.02425 Smooth=0.00188] *** BEST ***
Epoch 061/1000 | λ=1.00e-04 | LR=9.91e-05 | Train [Total=0.02521 MSE=0.02469 Smooth=0.00053] | Val   [Total=0.02484 MSE=0.02318 Smooth=0.00165] *** BEST ***
Epoch 062/1000 | λ=1.00e-04 | LR=9.91e-05 | Train [Total=0.02652 MSE=0.02611 Smooth=0.00041] | Val   [Total=0.02742 MSE=0.02587 Smooth=0.00155]
Epoch 063/1000 | λ=1.00e-04 | LR=9.90e-05 | Train [Total=0.02719 MSE=0.02685 Smooth=0.00034] | Val   [Total=0.02393 MSE=0.02237 Smooth=0.00156] *** BEST ***
Epoch 064/1000 | λ=1.00e-04 | LR=9.90e-05 | Train [Total=0.02630 MSE=0.02586 Smooth=0.00043] | Val   [Total=0.02237 MSE=0.02092 Smooth=0.00144] *** BEST ***
Epoch 065/1000 | λ=1.00e-04 | LR=9.90e-05 | Train [Total=0.02972 MSE=0.02938 Smooth=0.00034] | Val   [Total=0.02356 MSE=0.02202 Smooth=0.00154]
Epoch 066/1000 | λ=1.00e-04 | LR=9.89e-05 | Train [Total=0.01600 MSE=0.01562 Smooth=0.00037] | Val   [Total=0.02284 MSE=0.02144 Smooth=0.00140]
Epoch 067/1000 | λ=1.00e-04 | LR=9.89e-05 | Train [Total=0.02658 MSE=0.02617 Smooth=0.00041] | Val   [Total=0.01995 MSE=0.01856 Smooth=0.00139] *** BEST ***
Epoch 068/1000 | λ=1.00e-04 | LR=9.89e-05 | Train [Total=0.02059 MSE=0.02024 Smooth=0.00035] | Val   [Total=0.01941 MSE=0.01794 Smooth=0.00147] *** BEST ***
Epoch 069/1000 | λ=1.00e-04 | LR=9.88e-05 | Train [Total=0.02679 MSE=0.02650 Smooth=0.00029] | Val   [Total=0.01755 MSE=0.01587 Smooth=0.00168] *** BEST ***
Epoch 070/1000 | λ=1.00e-04 | LR=9.88e-05 | Train [Total=0.02194 MSE=0.02153 Smooth=0.00042] | Val   [Total=0.01947 MSE=0.01813 Smooth=0.00135]
Epoch 071/1000 | λ=1.00e-04 | LR=9.88e-05 | Train [Total=0.01847 MSE=0.01811 Smooth=0.00035] | Val   [Total=0.02927 MSE=0.02789 Smooth=0.00139]
Epoch 072/1000 | λ=1.00e-04 | LR=9.87e-05 | Train [Total=0.01897 MSE=0.01860 Smooth=0.00037] | Val   [Total=0.01819 MSE=0.01677 Smooth=0.00142]
Epoch 073/1000 | λ=1.00e-04 | LR=9.87e-05 | Train [Total=0.02050 MSE=0.02016 Smooth=0.00034] | Val   [Total=0.01971 MSE=0.01841 Smooth=0.00130]
Epoch 074/1000 | λ=1.00e-04 | LR=9.87e-05 | Train [Total=0.02625 MSE=0.02589 Smooth=0.00036] | Val   [Total=0.01675 MSE=0.01555 Smooth=0.00121] *** BEST ***
Epoch 075/1000 | λ=1.00e-04 | LR=9.86e-05 | Train [Total=0.02375 MSE=0.02339 Smooth=0.00036] | Val   [Total=0.01651 MSE=0.01527 Smooth=0.00123] *** BEST ***
Epoch 076/1000 | λ=1.00e-04 | LR=9.86e-05 | Train [Total=0.02753 MSE=0.02721 Smooth=0.00031] | Val   [Total=0.01754 MSE=0.01636 Smooth=0.00118]
Epoch 077/1000 | λ=1.00e-04 | LR=9.86e-05 | Train [Total=0.02556 MSE=0.02528 Smooth=0.00028] | Val   [Total=0.01595 MSE=0.01479 Smooth=0.00115] *** BEST ***
Epoch 078/1000 | λ=1.00e-04 | LR=9.85e-05 | Train [Total=0.02257 MSE=0.02230 Smooth=0.00028] | Val   [Total=0.01493 MSE=0.01373 Smooth=0.00120] *** BEST ***
Epoch 079/1000 | λ=1.00e-04 | LR=9.85e-05 | Train [Total=0.02338 MSE=0.02301 Smooth=0.00038] | Val   [Total=0.01444 MSE=0.01332 Smooth=0.00112] *** BEST ***
Epoch 080/1000 | λ=1.00e-04 | LR=9.84e-05 | Train [Total=0.02394 MSE=0.02365 Smooth=0.00029] | Val   [Total=0.01384 MSE=0.01262 Smooth=0.00122] *** BEST ***
Epoch 081/1000 | λ=1.00e-04 | LR=9.84e-05 | Train [Total=0.03529 MSE=0.03494 Smooth=0.00035] | Val   [Total=0.01826 MSE=0.01697 Smooth=0.00128]
Epoch 082/1000 | λ=1.00e-04 | LR=9.84e-05 | Train [Total=0.02324 MSE=0.02293 Smooth=0.00031] | Val   [Total=0.01487 MSE=0.01380 Smooth=0.00108]
Epoch 083/1000 | λ=1.00e-04 | LR=9.83e-05 | Train [Total=0.02283 MSE=0.02253 Smooth=0.00030] | Val   [Total=0.01822 MSE=0.01706 Smooth=0.00116]
Epoch 084/1000 | λ=1.00e-04 | LR=9.83e-05 | Train [Total=0.01674 MSE=0.01641 Smooth=0.00033] | Val   [Total=0.01299 MSE=0.01175 Smooth=0.00124] *** BEST ***
Epoch 085/1000 | λ=1.00e-04 | LR=9.82e-05 | Train [Total=0.02072 MSE=0.02038 Smooth=0.00033] | Val   [Total=0.01227 MSE=0.01108 Smooth=0.00119] *** BEST ***
Epoch 086/1000 | λ=1.00e-04 | LR=9.82e-05 | Train [Total=0.02418 MSE=0.02382 Smooth=0.00036] | Val   [Total=0.01069 MSE=0.00966 Smooth=0.00103] *** BEST ***
Epoch 087/1000 | λ=1.00e-04 | LR=9.82e-05 | Train [Total=0.02180 MSE=0.02155 Smooth=0.00024] | Val   [Total=0.01024 MSE=0.00927 Smooth=0.00098] *** BEST ***
Epoch 088/1000 | λ=1.00e-04 | LR=9.81e-05 | Train [Total=0.02029 MSE=0.02006 Smooth=0.00023] | Val   [Total=0.01860 MSE=0.01733 Smooth=0.00127]
