This job can be monitored from: https://job.c3se.chalmers.se/alvis/6337436
============================================================
CFG Fine-tuning — started 2026-04-05 18:36:21
Log: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg/training_cfg.log
Pretrained model: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Saving to:        /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg
CFG drop prob: 0.15  |  Fine-tune epochs: 200  |  LR: 5e-05
============================================================
Device: cuda
Train=425, Val=75
Loaded DVF stats: mean=-3.174312, std=10.820530
Loaded pretrained weights from: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Starting CFG fine-tuning from scratch...
Epoch 040/200 | λ=1.00e-04 | LR=4.53e-05 | Train [Total=0.01232 MSE=0.01202 Smooth=0.00030] | Val   [Total=0.00651 MSE=0.00544 Smooth=0.00107]
Epoch 041/200 | λ=1.00e-04 | LR=4.51e-05 | Train [Total=0.00896 MSE=0.00875 Smooth=0.00021] | Val   [Total=0.01301 MSE=0.01193 Smooth=0.00108]
Epoch 042/200 | λ=1.00e-04 | LR=4.49e-05 | Train [Total=0.01505 MSE=0.01482 Smooth=0.00023] | Val   [Total=0.00760 MSE=0.00653 Smooth=0.00107]
Epoch 043/200 | λ=1.00e-04 | LR=4.46e-05 | Train [Total=0.01323 MSE=0.01294 Smooth=0.00029] | Val   [Total=0.00736 MSE=0.00633 Smooth=0.00103]
Epoch 044/200 | λ=1.00e-04 | LR=4.44e-05 | Train [Total=0.01284 MSE=0.01258 Smooth=0.00027] | Val   [Total=0.00752 MSE=0.00645 Smooth=0.00107]
Epoch 045/200 | λ=1.00e-04 | LR=4.41e-05 | Train [Total=0.01332 MSE=0.01296 Smooth=0.00036] | Val   [Total=0.00658 MSE=0.00551 Smooth=0.00108]
Epoch 046/200 | λ=1.00e-04 | LR=4.39e-05 | Train [Total=0.01737 MSE=0.01707 Smooth=0.00031] | Val   [Total=0.00705 MSE=0.00600 Smooth=0.00105]
Epoch 047/200 | λ=1.00e-04 | LR=4.36e-05 | Train [Total=0.01520 MSE=0.01497 Smooth=0.00022] | Val   [Total=0.00634 MSE=0.00532 Smooth=0.00102]
Epoch 048/200 | λ=1.00e-04 | LR=4.34e-05 | Train [Total=0.01179 MSE=0.01148 Smooth=0.00031] | Val   [Total=0.00665 MSE=0.00563 Smooth=0.00102]
Epoch 049/200 | λ=1.00e-04 | LR=4.31e-05 | Train [Total=0.02089 MSE=0.02057 Smooth=0.00033] | Val   [Total=0.00769 MSE=0.00667 Smooth=0.00102]
Epoch 050/200 | λ=1.00e-04 | LR=4.28e-05 | Train [Total=0.01218 MSE=0.01197 Smooth=0.00021] | Val   [Total=0.00615 MSE=0.00510 Smooth=0.00105]
Epoch 051/200 | λ=1.00e-04 | LR=4.25e-05 | Train [Total=0.01621 MSE=0.01589 Smooth=0.00031] | Val   [Total=0.00721 MSE=0.00617 Smooth=0.00103]
Epoch 052/200 | λ=1.00e-04 | LR=4.23e-05 | Train [Total=0.01505 MSE=0.01475 Smooth=0.00030] | Val   [Total=0.00625 MSE=0.00522 Smooth=0.00102]
Epoch 053/200 | λ=1.00e-04 | LR=4.20e-05 | Train [Total=0.01200 MSE=0.01174 Smooth=0.00027] | Val   [Total=0.00736 MSE=0.00635 Smooth=0.00101]
Epoch 054/200 | λ=1.00e-04 | LR=4.17e-05 | Train [Total=0.01058 MSE=0.01032 Smooth=0.00026] | Val   [Total=0.00769 MSE=0.00668 Smooth=0.00100]
Epoch 055/200 | λ=1.00e-04 | LR=4.14e-05 | Train [Total=0.01483 MSE=0.01451 Smooth=0.00032] | Val   [Total=0.00657 MSE=0.00553 Smooth=0.00103]
Epoch 056/200 | λ=1.00e-04 | LR=4.11e-05 | Train [Total=0.01096 MSE=0.01069 Smooth=0.00027] | Val   [Total=0.00640 MSE=0.00538 Smooth=0.00103]
Epoch 057/200 | λ=1.00e-04 | LR=4.08e-05 | Train [Total=0.01516 MSE=0.01486 Smooth=0.00030] | Val   [Total=0.00705 MSE=0.00602 Smooth=0.00103]
Epoch 058/200 | λ=1.00e-04 | LR=4.05e-05 | Train [Total=0.01049 MSE=0.01028 Smooth=0.00021] | Val   [Total=0.00644 MSE=0.00542 Smooth=0.00102]
Epoch 059/200 | λ=1.00e-04 | LR=4.02e-05 | Train [Total=0.01228 MSE=0.01196 Smooth=0.00032] | Val   [Total=0.00624 MSE=0.00522 Smooth=0.00101]
Epoch 060/200 | λ=1.00e-04 | LR=3.99e-05 | Train [Total=0.01098 MSE=0.01070 Smooth=0.00028] | Val   [Total=0.00616 MSE=0.00514 Smooth=0.00102]
Epoch 061/200 | λ=1.00e-04 | LR=3.96e-05 | Train [Total=0.00999 MSE=0.00977 Smooth=0.00023] | Val   [Total=0.00644 MSE=0.00543 Smooth=0.00101]
Epoch 062/200 | λ=1.00e-04 | LR=3.93e-05 | Train [Total=0.01048 MSE=0.01018 Smooth=0.00029] | Val   [Total=0.00700 MSE=0.00600 Smooth=0.00100]
